,alert_strategy,alert_description,alert_status,alert_time,strategy_category,collection_plugin,label
0,,"Hard disk usage warning: partition xx usage xx, greater than or equal to xx, remaining capacity xxG",,1669908356,Others,plugin_B,Noise
1,Corefile Generation,generate corefile:PATH,Notified,1669908301,system stability,plugin_A,Noise
2,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1669907750,Others,plugin_B,Noise
3,Gse process hosting event alert,"Event type: process restarts successfully, event content: check bkmonitorbeat not running, and restart it success",Notified,1669907203,system stability,plugin_A,Noise
4,,"Hard disk usage warning: partition xx usage xx, greater than or equal to xx, remaining capacity xxG",,1669906326,Others,plugin_B,Noise
5,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1669904460,Others,plugin_B,Noise
6,Corefile Generation,generate corefile:PATH,Notified,1669903441,system stability,plugin_A,Noise
7,,Agent has not reported data for xx minutes,,1669902383,Others,plugin_B,Noise
8,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1669902358,Others,plugin_B,Noise
9,Corefile Generation,generate corefile:PATH,Notified,1669893302,system stability,plugin_A,Noise
10,OOM Warning,"OOM abnormal event was found, a total of xx OOM times, information: OOM abnormal event occurred in the system",Notified,1669893133,system stability,plugin_A,Noise
11,Corefile Generation,generate corefile:PATH,Notified,1669891202,system stability,plugin_A,Noise
12,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1669890962,Others,plugin_B,Noise
13,,[RailFormalEnv]: PATH {service}: physical memory size error.,,1669890884,Others,plugin_B,Noise
14,Corefile Generation,generate corefile:PATH,Notified,1669890001,system stability,plugin_A,Noise
15,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1669889752,Others,plugin_B,Noise
16,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1669887652,Others,plugin_B,Noise
17,OOM Warning,"OOM abnormal event was found, a total of xx OOM times, information: OOM abnormal event occurred in the system",Notified,1669884433,system stability,plugin_A,Noise
18,OOM Warning,"OOM abnormal event was found, a total of xx OOM times, information: OOM abnormal event occurred in the system",Notified,1669884253,system stability,plugin_A,Noise
19,,[RailFormalEnv]: PATH {service}: physical memory size error.,,1669878707,Others,plugin_B,Noise
20,,"Stand-alone performance is abnormal: the current value of cpu usage[xxm] is xx, which is greater than xx",,1669878363,Others,plugin_B,Noise
